"","Country","Year","Area","Metier","Gear","Vessel_length","kw_days","Days_at_sea","FU","lvl4"
"839","BEL",2013,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","10<24",4838,22,NA,"TBB_DEF"
"840","BEL",2013,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",64464,62,NA,"TBB_DEF"
"841","BEL",2013,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",495180,484,NA,"TBB_DEF"
"842","BEL",2013,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",370610,350,NA,"TBB_DEF"
"843","BEL",2013,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","24<40",8282,10,NA,"OTB_CRU"
"844","BEL",2013,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","24<40",32528,39,NA,"OTB_CRU"
"845","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",131355,147,NA,"OTB_CRU"
"846","BEL",2013,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",29108,36,NA,"TBB_DEF"
"847","BEL",2013,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",103420,99,NA,"TBB_DEF"
"848","BEL",2013,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",393887,389,NA,"TBB_DEF"
"849","BEL",2013,"27.7.h","TBB_DEF_70-99_0_0_all","TBB","24<40",959,1,NA,"TBB_DEF"
"850","BEL",2013,"27.7.e","MIS_MIS_0_0_0_HC","MIS","24<40",2362,2,NA,"MIS_MIS"
"851","BEL",2013,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","24<40",8181,9,NA,"OTB_CRU"
"852","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",22440,40,NA,"OTB_CRU"
"853","BEL",2013,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","24<40",4560,13,NA,"SSC_DEF"
"854","BEL",2013,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","10<24",1105,5,NA,"TBB_DEF"
"855","BEL",2013,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",58407,57,NA,"TBB_DEF"
"856","BEL",2013,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",123545,108,NA,"TBB_DEF"
"857","BEL",2013,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",291377,269,NA,"TBB_DEF"
"859","BEL",2013,"27.7.e","MIS_MIS_0_0_0_HC","MIS","10<24",438,2,NA,"MIS_MIS"
"860","BEL",2013,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","24<40",3857,7,NA,"OTB_CRU"
"861","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",18183,33,NA,"OTB_CRU"
"862","BEL",2013,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","24<40",26250,25,NA,"SSC_DEF"
"863","BEL",2013,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","10<24",442,2,NA,"TBB_DEF"
"864","BEL",2013,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","10<24",19633,89,NA,"TBB_DEF"
"865","BEL",2013,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",131464,128,NA,"TBB_DEF"
"866","BEL",2013,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",450314,401,NA,"TBB_DEF"
"867","BEL",2013,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",286215,251,NA,"TBB_DEF"
"869","BEL",2013,"27.7.g","OTB_DEF_100-119_0_0_all","OTB","10<24",884,4,NA,"OTB_DEF"
"870","BEL",2013,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","10<24",4877,7,NA,"OTB_CRU"
"871","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","10<24",31257,45,NA,"OTB_CRU"
"872","BEL",2013,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","24<40",13764,14,NA,"OTB_CRU"
"873","BEL",2013,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","24<40",7349,12,NA,"OTB_CRU"
"874","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",50238,82,NA,"OTB_CRU"
"875","BEL",2013,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","24<40",7642,8,NA,"SSC_DEF"
"876","BEL",2013,"27.7.f","SSC_DEF_70-99_0_0_all","SSC","24<40",2400,2,NA,"SSC_DEF"
"877","BEL",2013,"27.7.g","SSC_DEF_70-99_0_0_all","SSC","24<40",1200,1,NA,"SSC_DEF"
"878","BEL",2013,"27.7.f","TBB_DEF_>=120_0_0_all","TBB","24<40",2877,3,NA,"TBB_DEF"
"879","BEL",2013,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","10<24",4838,22,NA,"TBB_DEF"
"880","BEL",2013,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",64464,62,NA,"TBB_DEF"
"881","BEL",2013,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",495180,484,NA,"TBB_DEF"
