FishStock,Year,var,value,Advice.Year
COD,1991,F,0.981,2015
COD,1992,F,0.851,2015
COD,1993,F,0.749,2015
COD,1994,F,0.749,2015
COD,1995,F,0.725,2015
COD,1996,F,0.852,2015
COD,1997,F,0.804,2015
COD,1998,F,0.949,2015
COD,1999,F,0.858,2015
COD,2000,F,0.746,2015
COD,2001,F,0.738,2015
COD,2002,F,0.843,2015
COD,2003,F,0.932,2015
COD,2004,F,0.944,2015
COD,2005,F,0.979,2015
COD,2006,F,0.82,2015
COD,2007,F,0.823,2015
COD,2008,F,0.746,2015
COD,2009,F,0.755,2015
COD,2010,F,0.538,2015
COD,2011,F,0.465,2015
COD,2012,F,0.629,2015
COD,2013,F,0.775,2015
COD,2014,F,0.572,2015
COD,2015,F,0.66,2015
HAD,1993,SSB,7482,2017
HAD,1994,SSB,7969,2017
HAD,1995,SSB,7394,2017
HAD,1996,SSB,19671,2017
HAD,1997,SSB,28560,2017
HAD,1998,SSB,22386,2017
HAD,1999,SSB,14060,2017
HAD,2000,SSB,17306,2017
HAD,2001,SSB,29186,2017
HAD,2002,SSB,36181,2017
HAD,2003,SSB,25237,2017
HAD,2004,SSB,43258,2017
HAD,2005,SSB,29425,2017
HAD,2006,SSB,23508,2017
HAD,2007,SSB,24848,2017
HAD,2008,SSB,23850,2017
HAD,2009,SSB,36168,2017
HAD,2010,SSB,37358,2017
HAD,2011,SSB,85188,2017
HAD,2012,SSB,68042,2017
HAD,2013,SSB,40647,2017
HAD,2014,SSB,24854,2017
HAD,2015,SSB,38298,2017
HAD,2016,SSB,28251,2017
HAD,2017,SSB,32936,2017
HAD,1993,Catch,4556,2017
HAD,1994,Catch,6017,2017
HAD,1995,Catch,6688,2017
HAD,1996,Catch,11065,2017
HAD,1997,Catch,13710,2017
HAD,1998,Catch,8862,2017
HAD,1999,Catch,5556,2017
HAD,2000,Catch,10002,2017
HAD,2001,Catch,12696,2017
HAD,2002,Catch,13561,2017
HAD,2003,Catch,17748,2017
HAD,2004,Catch,15527,2017
HAD,2005,Catch,11978,2017
HAD,2006,Catch,8077,2017
HAD,2007,Catch,9520,2017
HAD,2008,Catch,18642,2017
HAD,2009,Catch,18688,2017
HAD,2010,Catch,26809,2017
HAD,2011,Catch,27257,2017
HAD,2012,Catch,28567,2017
HAD,2013,Catch,15509,2017
HAD,2014,Catch,13031,2017
