,year,scenario,fleet,metier,effshare,effort,efmet,gear
94,2019,min,FR_Otter_24<40m,OTB_DEF_27.7.g,0.049938315,0,0,OTB_DEF_27
95,2019,min,FR_Otter_24<40m,OTB_DEF_27.7.h,0.17686027,0,0,OTB_DEF_27
96,2019,min,FR_Otter_24<40m,OTB_DEF_27.7.j,0.206043995,0,0,OTB_DEF_27
97,2019,min,FR_Otter_24<40m,OTH,0.391235523,0,0,OTH
98,2019,min,FR_Otter_all,OTH,0.85674909,2764.81546,2368.75313,OTH
99,2019,min,FR_Otter_all,OTT_DEF_27.7.g,0.14325091,2764.81546,396.0623295,OTT_DEF_27
100,2019,min,IE_Beam_10<24m,OTH,1,0,0,OTH
101,2019,min,IE_Beam_24<40m,OTH,0.006156554,0,0,OTH
102,2019,min,IE_Beam_24<40m,TBB_DEF_27.7.g,0.993843446,0,0,TBB_DEF_27
103,2019,min,IE_Otter_10<24m,OTB_DEF_27.7.g,0.321756329,0,0,OTB_DEF_27
104,2019,min,IE_Otter_10<24m,OTB_DEF_27.7.j,0.170615033,0,0,OTB_DEF_27
105,2019,min,IE_Otter_10<24m,OTH,0.460695961,0,0,OTH
106,2019,min,IE_Otter_10<24m,SSC_DEF_27.7.g,0.046932677,0,0,SSC_DEF_27
107,2019,min,IE_Otter_24<40m,OTB_DEF_27.7.b,0.056079913,0,0,OTB_DEF_27
108,2019,min,IE_Otter_24<40m,OTB_DEF_27.7.g,0.181866871,0,0,OTB_DEF_27
109,2019,min,IE_Otter_24<40m,OTH,0.762053216,0,0,OTH
111,2019,min,SP_Static_24<40m,OTH,1,293.7417341,293.7417341,OTH
112,2019,min,SP_Static_all,LLS_DEF_27.7.c,0.102849071,1713.647557,176.2470592,LLS_DEF_27
113,2019,min,SP_Static_all,LLS_DEF_27.7.j,0.710490245,1713.647557,1217.529873,LLS_DEF_27
114,2019,min,SP_Static_all,OTH,0.186660684,1713.647557,319.8706243,OTH
115,2019,cod-cs,BE_Beam_10<24m,OTH,1,0,0,OTH
116,2019,cod-cs,BE_Beam_24<40m,OTH,0.68118469,0,0,OTH
117,2019,cod-cs,BE_Beam_24<40m,TBB_DEF_27.7.g,0.31881531,0,0,TBB_DEF_27
118,2019,cod-cs,BE_Otter_24<40m,OTH,1,0,0,OTH
119,2019,cod-cs,EN_Beam_10<24m,OTH,1,0,0,OTH
120,2019,cod-cs,EN_Beam_24<40m,OTH,1,0,0,OTH
121,2019,cod-cs,EN_Other_all,OTH,1,0,0,OTH
122,2019,cod-cs,EN_Otter_<10m,OTH,1,0,0,OTH
123,2019,cod-cs,EN_Otter_10<24m,OTH,1,0,0,OTH
124,2019,cod-cs,EN_Otter_24<40m,OTB_DEF_27.7.j,0.484364995,0,0,OTB_DEF_27
125,2019,cod-cs,EN_Otter_24<40m,OTH,0.515635005,0,0,OTH
126,2019,cod-cs,EN_Static_all,OTH,1,0,0,OTH
127,2019,cod-cs,FR_Other_all,OTH,1,11672.615,11672.615,OTH
128,2019,cod-cs,FR_Otter_10<24m,OTB_DEF_27.7.e,0.239316749,0,0,OTB_DEF_27
129,2019,cod-cs,FR_Otter_10<24m,OTB_DEF_27.7.h,0.084970794,0,0,OTB_DEF_27
130,2019,cod-cs,FR_Otter_10<24m,OTH,0.675712457,0,0,OTH
131,2019,cod-cs,FR_Otter_24<40m,OTB_DEF_27.7.e,0.175921897,0,0,OTB_DEF_27
132,2019,cod-cs,FR_Otter_24<40m,OTB_DEF_27.7.g,0.049938315,0,0,OTB_DEF_27
133,2019,cod-cs,FR_Otter_24<40m,OTB_DEF_27.7.h,0.17686027,0,0,OTB_DEF_27
134,2019,cod-cs,FR_Otter_24<40m,OTB_DEF_27.7.j,0.206043995,0,0,OTB_DEF_27
135,2019,cod-cs,FR_Otter_24<40m,OTH,0.391235523,0,0,OTH
136,2019,cod-cs,FR_Otter_all,OTH,0.85674909,4327.435,3707.526,OTH
137,2019,cod-cs,FR_Otter_all,OTT_DEF_27.7.g,0.14325091,4327.435,619.909,OTT_DEF_27
138,2019,cod-cs,IE_Beam_10<24m,OTH,1,0,0,OTH
139,2019,cod-cs,IE_Beam_24<40m,OTH,0.006156554,0,0,OTH
140,2019,cod-cs,IE_Beam_24<40m,TBB_DEF_27.7.g,0.993843446,0,0,TBB_DEF_27
141,2019,cod-cs,IE_Otter_10<24m,OTB_DEF_27.7.g,0.321756329,0,0,OTB_DEF_27
142,2019,cod-cs,IE_Otter_10<24m,OTB_DEF_27.7.j,0.170615033,0,0,OTB_DEF_27
143,2019,cod-cs,IE_Otter_10<24m,OTH,0.460695961,0,0,OTH
